Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,10.0,10.0,10.0,-3.506511281194804,-2.8205818648544847,10.0,10.0,10.0,10.0,-2.985701699187148,-2.9339049034466624,-1.6338194743706307,0.536523769074214,10.0,-1.6385233846198468,0.6455513765562655,10.0,10.0,-2.987916233024041,10.0,-3.5292849134604527,-1.9616814667205151,10.0,-0.9950273168790793,10.0,10.0,10.0,-1.1439690741295951,-0.42197660365840184,0.46130446181984563,-2.1965004065211957,-0.743187714916175,-0.07964054277710453,10.0,10.0,10.0,-1.5510435949298822,10.0,10.0,10.0,-1.3570307824538244,10.0,10.0,-0.11857870004357896,-2.2139323105018605,10.0,10.0,0.6515008396201196,10.0,10.0,-0.6413897522169223,-0.05038177841073299,10.0,-3.3596604277360624,-0.06779359020946751,10.0,-2.2369958344999077,10.0,0.44948900100164924,10.0,10.0,10.0,-3.4815703126258537,0.434525783940118,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-3.030097978725207,-2.5380262926463626,10.0,-1.6360302424087605,-3.2620668921411644,10.0,10.0,10.0,10.0,0.7386684460059074,-1.987523032916343,10.0,10.0,-3.534920197641066,10.0,0.8996053815382776,-1.8751761814268475,-3.1482436943508922,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,10.0,10.0,10.0,-6.2272695135201035,-2.4688215646041485,10.0,10.0,10.0,10.0,-1.0425608035697271,-4.874044644794331,-1.973553654648902,10.0,10.0,10.0,10.0,10.0,10.0,0.8834428463116435,10.0,-4.37869932213085,-3.477436377954579,10.0,-1.0442927690498411,10.0,10.0,10.0,-0.3356225274377378,-1.7934726912142969,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.4974729837830658,10.0,10.0,10.0,-2.2893728118625427,10.0,10.0,10.0,10.0,10.0,10.0,-2.722374814879752,10.0,-6.928475781710585,-1.7533608801413623,10.0,-4.792342645768762,10.0,10.0,10.0,10.0,10.0,-0.6086283171862501,-1.715632532393224,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-7.241727666292012,-1.3733671221414,10.0,-5.194083809275421,10.0,10.0,10.0,10.0,10.0,10.0,-3.182102472854531,10.0,10.0,-6.751288348642598,10.0,0.7590621831454882,-1.258180876958626,0.8237145201138922,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3,10.0,10.0,10.0,-5.366251592556357,-6.178968539738908,10.0,10.0,10.0,10.0,10.0,-7.697837921981136,-5.641873153235345,10.0,10.0,10.0,10.0,10.0,10.0,0.16196722329440316,10.0,-7.297277103503488,-2.9882129605426817,10.0,-4.349917782587319,10.0,10.0,10.0,-4.220244876508927,-5.276590100330897,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-4.32631851253581,10.0,10.0,10.0,-2.0007423936590047,10.0,10.0,10.0,10.0,10.0,10.0,-5.241917212532923,10.0,-3.600702523453309,10.0,10.0,-7.5884656907562595,10.0,10.0,10.0,10.0,10.0,10.0,0.0773241088190435,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.702782292258073,-1.549363100678189,10.0,-4.878048387133131,10.0,10.0,10.0,10.0,10.0,10.0,-1.989974722101314,10.0,10.0,-3.99822929964461,10.0,-0.32202452798152015,-1.0283317647505648,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
4,10.0,10.0,10.0,-8.377859798986012,-9.001005351961293,10.0,10.0,10.0,10.0,10.0,-10.323324204014456,-4.941562687326422,10.0,10.0,10.0,10.0,10.0,10.0,0.7451302426553568,10.0,-2.8484810911636576,-2.8457498697740515,10.0,-3.496415235351794,10.0,10.0,10.0,-2.2209367905096613,-8.813876107606402,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-3.189508371974479,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-8.640899992454314,10.0,0.8095523030292746,10.0,10.0,-9.36187838759114,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-8.808289312130162,10.0,10.0,0.7945449135340557,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.7931829262032952,10.0,0.7883070152468443,-2.7428612340813983,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
5,10.0,10.0,10.0,-8.012313951522161,-12.431181231278238,10.0,10.0,10.0,10.0,10.0,-4.411158265711162,-3.142139999914093,10.0,10.0,10.0,10.0,10.0,10.0,-2.134258387063247,10.0,-3.697808774377325,-5.331500615356206,10.0,-4.809040235988839,10.0,10.0,10.0,-0.6366192247471654,-6.671405728078417,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-4.072081113709945,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.506197409339702,10.0,10.0,10.0,10.0,-6.221575504326481,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-7.398049357248569,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.8920914983004558,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
6,10.0,10.0,10.0,-4.98944127177609,-9.738242394343597,10.0,10.0,10.0,10.0,10.0,-4.301187864075695,-6.338793906532057,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.272905501711888,-9.318731092422855,10.0,0.6155858555515632,10.0,10.0,10.0,-1.768300929938773,-3.527834270506707,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-5.84426148793124,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.613620121600643,10.0,10.0,10.0,10.0,-1.6586298105437987,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-7.841351115850599,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-3.714886570830141,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7,10.0,10.0,10.0,-2.437720844175141,-7.960219776485035,10.0,10.0,10.0,10.0,10.0,-8.13416524973725,-6.548627666650315,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-4.692956084953739,-4.281608690386978,10.0,-0.70903024633665,10.0,10.0,10.0,-3.393908384818696,-2.2640643785885617,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-4.5506947057255385,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-11.40708288201612,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.924181684187417,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-7.437582145595518,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,10.0,10.0,10.0,-4.667541398319337,-9.235558359854986,10.0,10.0,10.0,10.0,10.0,-8.556896629419622,-2.797471876833458,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.9250846083367552,-2.2293254893934904,10.0,10.0,10.0,10.0,10.0,10.0,-2.5509345804802255,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-2.8024741578213623,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.233952949656063,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.052855556604246,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-8.582293230551848,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
9,10.0,10.0,10.0,-1.7663467784014655,-10.24730435046984,10.0,10.0,10.0,10.0,10.0,-11.53806260005291,-3.6915594702605667,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.8268820777239791,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-3.5183627793256385,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.44770471572234616,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-12.583012077881282,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-12.296110267285883,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.763754375218167,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
